text_a	bd_label	entity_label
脊 柱 融 合 术 后 ， 脊 柱 侧 弯 的 程 度 将 明 显 改 善 ， 同 时 肺 活 量 、 坐 、 平 衡 以 及 舒 适 感 也 明 显 改 善 。	B M M M E O O B M M E O O O O O O O O O O O B M E O O O O O O O O O O O O O O O O	pro dis ite
但 在 实 际 操 作 过 程 中 ， 无 一 例 外 地 受 到 口 腔 、 鼻 咽 部 细 菌 的 污 染 ， 有 时 送 检 的 可 能 不 是 痰 液 ， 而 是 唾 液 。	O O O O O O O O O O O O O O O O O B E O B M E O O O O O O O O O O O O O O O B E O O O B E O	bod bod bod bod
此 时 心 内 膜 与 心 外 膜 直 接 融 合 。	O O B M E O B M E O O O O O	bod bod
意 向 性 震 颤 且 粗 大 震 颤 首 选 氯 硝 西 泮 0 . 5 m g ， 每 日 1 次 或 2 次 。	B M M M M M M M M E O O B M M E O O O O O O O O O O O O O O	sym dru
肺 部 体 征 不 多 ， 但 咳 、 喘 、 发 热 等 呼 吸 道 症 状 较 严 重 。	B E O O O O O O B M M M M M M M M M M M M M E O	bod sym
常 出 现 躁 狂 与 昏 睡 交 替 。	O O O B E O B M M E O	sym sym
前 者 一 般 认 为 是 因 为 激 动 在 窦 房 结 内 形 成 异 常 在 窦 房 传 导 时 发 生 阻 滞 心 律 失 常 在 儿 科 少 见 ， 可 见 于 洋 地 黄 中 毒 中 毒 或 心 房 广 泛 手 术 后 。	O O O O O O O O O O O B B M M E M M M E B B E M M M M M M E B M M E O B E O O O O O O B M M M E O O O B M M M M E O O	O sym O O O bod O O O O O sym O bod O O sym dep dis pro
最 终 ， 大 多 数 严 重 主 动 脉 瓣 狭 窄 的 患 儿 可 能 需 要 换 瓣 。	O O O O O O B M M M M M M E O O O O O O O B E O	dis pro
该 病 在 年 长 儿 及 成 人 中 更 多 见 ， 在 原 发 性 肾 小 球 疾 病 肾 活 体 组 织 检 查 中 ， I g A 肾 病 在 北 美 占 1 0 % 左 右 ， 欧 洲 1 0 % ～ 3 0 % ， 亚 太 地 区 最 高 ， 我 国 为 3 0 % ， 日 本 甚 至 高 达 5 0 % 。	O O O O O O O O O O O O O O O B M M M M M M E B M M M M M E O O B M M M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	dis O pro dis
术 中 要 注 意 出 血 和 休 克 的 应 对 措 施 。	O O O O O O O O B E O O O O O O	dis
随 着 G n R H 分 泌 频 率 和 幅 度 的 增 多 ， 刺 激 垂 体 G n 分 泌 的 频 率 和 幅 度 也 增 加 性 激 素 的 分 泌 量 亦 增 多 G n R H 由 于 分 泌 量 极 少 ， 难 于 检 测 ， 但 检 测 G n 的 脉 冲 分 泌 能 间 接 反 映 G n R H 的 脉 冲 释 放 情 况 。	O O O O O O O O O O O O O O O O O O O B M M E M M M M M M M M M M E B M E M M M M M M E B M M E O O O O O O O O O O O O O O O O B E O O O O O O O O O O B M M E O O O O O O O O	bod sym O O O bod sym O bod bod bod
以 纤 维 连 接 蛋 白 为 例 ， 纤 维 连 接 蛋 白 具 有 细 胞 黏 附 分 子 、 趋 化 因 子 和 调 理 素 的 功 能 ， 新 生 儿 ， 尤 其 是 未 成 熟 儿 水 平 低 下 ， 严 重 感 染 、 缺 氧 以 及 窒 息 时 纤 维 连 接 蛋 白 的 水 平 将 进 一 步 下 降 ， 其 感 染 的 恢 复 明 显 不 及 成 人 。	O B M M M M E O O O B M M M M E O O B M M M M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M E O B E O O B E O B M M M M E O O O O O O O O O O O O O O O O O O O O O O O	bod bod bod dis dis dis bod
心 下 型 患 儿 、 术 前 需 用 呼 吸 机 、 有 代 谢 性 酸 中 毒 患 儿 术 后 死 亡 率 较 高 。	O O O O O O O O O O B M E O O B M M M M E O O O O O O O O O O	equ dis
肺 炎 链 球 菌 肺 炎 疗 程 7 ～ 1 0 天 ； 流 感 嗜 血 杆 菌 肺 炎 疗 程 1 4 天 左 右 ； 葡 萄 球 菌 肺 炎 尤 其 M R A S 、 M R S E 疗 程 宜 适 当 延 长 ， 平 均 2 8 天 ； 肠 杆 菌 肺 炎 1 4 ～ 2 1 天 左 右 ； 铜 绿 假 单 胞 菌 等 肺 炎 2 1 ～ 2 8 天 左 右 ； 支 原 体 、 衣 原 体 或 嗜 肺 军 团 菌 肺 炎 需 2 1 天 或 更 长 ；	B M M M M M E O O O O O O O O B M M M M M M E O O O O O O O O B M M M M E O O B M M E O B M M E O O O O O O O O O O O O O O B M M M E O O O O O O O O O B M M M M E O B E O O O O O O O O O B M M M M M M M M M M M M M E O O O O O O O O	dis dis dis dis dis dis mic dis dis
2 / 3 患 儿 有 轻 微 的 神 经 系 统 体 征 ， 如 肌 张 力 增 高 、 腱 反 射 亢 进 及 小 头 畸 形 等 ， 严 重 者 可 有 脑 性 瘫 痪 。	O O O O O O O O O B M M M M E O O B M M M E O B M M M E O B M M E O O O O O O O B M M E O	sym sym sym sym sym
肺 血 流 量 增 加 者 可 在 心 尖 部 闻 及 滚 动 样 舒 张 期 杂 音 。	B M M M M M M M M M M M M M M M M M M M M E O	sym
类 风 湿 性 关 节 炎 、 皮 肌 炎 、 或 S j ö g r e n 综 合 征 偶 也 可 引 起 胎 儿 传 导 组 织 的 自 身 免 疫 性 损 伤 。	B M M M M M E O O O O O O B M M M M M M M M E O O O O O B M M M M E O O O O O O O O O	dis dis bod
原 有 肺 炎 经 适 当 治 疗 好 转 后 又 见 恶 化 ， 或 原 发 病 迁 延 不 愈 ， 应 怀 疑 此 类 肺 部 感 染 。	O O B E O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M E O	dis dis
骨 髓 检 查 有 助 于 诊 断 白 血 病 、 转 移 瘤 、 分 枝 杆 菌 、 真 菌 或 寄 生 虫 感 染 及 组 织 细 胞 增 多 症 、 嗜 红 细 胞 现 象 。	B M M E O O O O O B M E O B M E O B M M E O B E O B M M M E O B M M M M M E O B M M M M E O	ite dis dis mic mic dis dis sym
